TRUNKS,Filho de Vegeta,1,Dragon Ball
TAIYOKEN,Golpe de luz ofuscante,2,Dragon Ball
VADOS,Anjo do Universo 6,3,Dragon Ball
KI,Energia vital usada em lutas,1,Dragon Ball
GOHAN,Filho de Goku,1,Dragon Ball
WHIS,Treinador dos deuses,2,Dragon Ball
JIREN,Guerreiro do Torneio do Poder,3,Dragon Ball
NUVEM,Transporte voador de Goku,2,Dragon Ball
BRINCO,Item usado na fusão Potara,2,Dragon Ball
MASENKO,Golpe de energia de Gohan,2,Dragon Ball
PODER,Nível de força de um guerreiro,3,Dragon Ball
DEUS,Seres superiores no universo,2,Dragon Ball
ZARBON,Soldado de Freeza,2,Dragon Ball
BROLY,Lendário Super Saiyajin,2,Dragon Ball
BARDOCK,Pai de Goku,1,Dragon Ball
BULMA,Gênio inventora da Corporação Cápsula,1,Dragon Ball
CONQUISTAR,Objetivo de muitos vilões,2,Dragon Ball
WUKONG,Referência ao Rei Macaco,3,Dragon Ball
ANJOS,Assistentes dos deuses da destruição,3,Dragon Ball
ODA,Criador do mangá One Piece,1,One Piece
SERAPHIM,Armas humanas clonadas,3,One Piece
BARCO,Principal meio de transporte dos piratas,1,One Piece
HAKI,Energia espiritual usada em combate,2,One Piece
LOGIA,Tipo de Akuma no Mi elementar,3,One Piece
JINBE,Homem-peixe e aliado de Luffy,1,One Piece
FRUTA,Concede poderes especiais,1,One Piece
GARP,Avô de Luffy,1,One Piece
MAR,Onde os piratas navegam,1,One Piece
VISMOK,Sobrenome do Sanji,1,One Piece
RAYLEIGH,Ex-membro do Roger Pirates,2,One Piece
ILHA,Local onde ocorrem as aventuras,1,One Piece
REI,Título sonhado por Luffy,2,One Piece
NAMI,Navegadora da tripulação,1,One Piece
ZOAN,Tipo de fruta que transforma o corpo,2,One Piece
SAKE,Bebida favorita do espadachim,1,One Piece
ACE,Irmão de Luffy,1,One Piece
GOMU,Nome da fruta do protagonista,1,One Piece
SANJI,Cozinheiro da tripulação,1,One Piece
NIKA,Deus do sol,2,One Piece
LUNA,Amiga excêntrica de Harry,1,Harry Potter
SNAPE,Professor de Poções em Hogwarts,1,Harry Potter
LEVIOSA,Feitiço de levitação,1,Harry Potter
CORVINAL,Casa conhecida pela inteligência,2,Harry Potter
BRUXO,Usuário de magia,1,Harry Potter
CASTELO,Local onde fica Hogwarts,1,Harry Potter
DUELO,Combate entre bruxos,2,Harry Potter
VISGO,Planta mágica usada em poções,2,Harry Potter
TRASGO,Criatura derrotada no primeiro filme,2,Harry Potter
RONY,Melhor amigo de Harry,1,Harry Potter
FENIX,Ave mágica que renasce das cinzas,2,Harry Potter
DRACO,Rival de Harry na Sonserina,1,Harry Potter
BECO,Local de compras dos bruxos,2,Harry Potter
TOM,Nome verdadeiro de Voldemort,2,Harry Potter
FLORESTA,Local sombrio de Hogwarts,2,Harry Potter
HAGRID,Guarda-caça e guardião das chaves de Hogwarts,2,Harry Potter
LUMOS,Feitiço de iluminação,1,Harry Potter
QUADRIBOL,Esporte voando em vassouras,2,Harry Potter
TREM,Leva os alunos a Hogwarts,1,Harry Potter
HOGWARTS,Escola de magia e bruxaria,1,Harry Potter
ZUMBI,Criatura infectada por vírus,1,Resident Evil
FUZIL,Arma de fogo longa e potente,1,Resident Evil
ERVA,Usada para curar ferimentos,1,Resident Evil
LEON,Um dos protagonistas principais,1,Resident Evil
CLAIRE,Irmã de Chris Redfield,1,Resident Evil
CHAVE,Abre portas trancadas,2,Resident Evil
RIFLE,Arma de longo alcance,2,Resident Evil
PISTOLA,Arma comum no jogo,1,Resident Evil
MIA,Personagem do Resident Evil 7,2,Resident Evil
ORBE,Item esférico usado em puzzles,2,Resident Evil
CHRIS,Um dos heróis da franquia,1,Resident Evil
ASHLEY,Filha do presidente dos EUA,2,Resident Evil
ETHAN,Protagonista de Resident Evil 7 e 8,2,Resident Evil
COFRE,Usado para guardar itens,2,Resident Evil
ENIGMA,Desafio para abrir portas secretas,3,Resident Evil
SADLER,Vilão de Resident Evil 4,3,Resident Evil
GEMAS,Itens preciosos e colecionáveis,2,Resident Evil
BAU,Onde o jogador guarda objetos,1,Resident Evil
SPRAY,Usado para restaurar vida,1,Resident Evil
MOEDA,Usada para trocas ou recompensas,1,Resident Evil
NEVOA,Marca registrada da cidade,1,Silent Hill
CANO,Uma das primeiras armas brancas,1,Silent Hill
CULTO,Grupo responsável por rituais sombrios,2,Silent Hill
MARY,Esposa desaparecida de James,2,Silent Hill
JAMES,Protagonista do segundo jogo,2,Silent Hill
HOTEL,Local icônico de Silent Hill 2,1,Silent Hill
LISA,Enfermeira que aparece no primeiro jogo,2,Silent Hill
MASON,Sobrenome do protagonista do SH1,1,Silent Hill
HENRY,Protagonista de Silent Hill 4,2,Silent Hill
LAGO,Local central da cidade,1,Silent Hill
MOTEL,Cenário de encontros estranhos,2,Silent Hill
GUIA,Ajuda a compreender o caminho,1,Silent Hill
PYRAMID,Monstro com máscara triangular,3,Silent Hill
HOSPITAL,Lugar cheio de enfermeiras monstruosas,2,Silent Hill
BRUMA,Sinônimo da névoa da cidade,2,Silent Hill
VELHO,Figura que representa o passado,2,Silent Hill
DOGMA,Crença da ordem sombria,2,Silent Hill
SURTO,Causa de terror psicológico,3,Silent Hill
CULPA,Sentimento central dos protagonistas,1,Silent Hill
CHERYL,Filha desaparecida de Harry,2,Silent Hill
MURIEL,Um nome? Um anagrama?,3,Final
